length,pcb,n,year
77.47,3,1,1992
77.724,4.2,1,1992
55.88,1.1,1,1994
64.77,3.9,1,1994
73.66,3.5,1,1994
52.07,0.95,1,1994
58.42,0.65,1,1994
59.69,1.2,1,1994
59.69,0.62,1,1994
51.435,0.59,1,1994
53.34,0.55,1,1994
67.31,1.4,1,1994
68.58,1.2,1,1994
69.215,1.5,1,1994
76.2,3.3,1,1994
77.47,4.8,1,1994
78.74,2,1,1994
71.12,2.5,1,1994
58.928,1.2,1,1994
60.198,0.84,1,1994
63.5,1.8,1,1994
64.516,1.7,1,1994
72.644,3.8,1,1994
74.168,3.3,1,1994
74.676,3.2,1,1994
79.502,3.2,1,1994
79.756,7.4,1,1994
53.086,1.2,1,1994
55.372,0.46,1,1994
57.404,1.1,1,1994
57.912,0.98,1,1994
70.358,1.6,1,1994
73.152,1.8,1,1994
74.168,2.3,1,1994
71.12,1.7,1,1994
51.99999999,0.96,1,1996
51.99999999,0.984,1,1996
54.49999999,1.11,1,1996
61,1.19,1,1996
59.5,1.45,1,1996
62.49999999,2.33,1,1996
63.00000001,1.36,1,1996
63.5,1.9,1,1996
66,1.43,1,1996
66.49999999,2.28,1,1996
54.9,0.658,1,1996
55.6,0.699,1,1996
53.59999999,0.639,1,1996
58.90000001,1.41,1,1996
60.70000001,1.5,1,1996
62.7,1.25,1,1996
60.2,1.31,1,1996
60.4,0.807,1,1996
62,1.26,1,1996
63.99999999,0.932,1,1996
78.74,6.7,1,1996
79.756,3.9,1,1996
55.00000001,0.855,1,1997
56.5,1.21,1,1997
57,0.71,1,1997
57.50000001,0.9,1,1997
59.6,0.669,1,1997
59.99999999,1.233,1,1997
59.99999999,0.844,1,1997
61,1.316,1,1997
62.8,1.225,1,1997
64.69999999,1.263,1,1997
71.3,1.823,1,1998
71.4,2.911,1,1998
74.5,2.348,1,1998
74.90000001,2.033,1,1998
76.2,1.35,1,1998
78.00000001,2.596,1,1998
78.39999999,2.993,1,1998
79.19999999,2.223,1,1998
80.2,2.224,1,1998
84,3.4,1,1998
84.1,4.998,1,1998
84.8,2.685,1,1998
65.8,1.252,1,1998
65.9,1.179,1,1998
54.61,1,1,1998
69.088,2,1,1998
71.628,2.4,1,1998
73.914,2.8,1,1998
57.404,1.2,1,2000
69.088,2.9,1,2000
69.342,1.9,1,2000
69.85,3.3,1,2000
73.66,5.4,1,2000
76.2,3.6,1,2000
77.724,4.1,1,2000
80.772,7.1,1,2000
66.04,3,1,2000
78.232,4.2,1,1998
